Rejection rate,Impact Factor (2014),Journal Title
0.72,1.933,CELL BIOLOGY INTERNATIONAL
0.72,6.921,JOURNAL OF CATALYSIS
0.72,0.587,European Journal of Special Needs Education
0.72,2.412,PSYCHIATRIC SERVICES
0.72,0.831,JOURNAL OF PRAGMATICS
0.72,3.957,JOURNAL OF PSYCHIATRIC RESEARCH
0.72,2.947,KNOWLEDGE-BASED SYSTEMS
0.72,1.256,International Journal of Astrobiology
0.72,1.653,BIOMEDICAL AND ENVIRONMENTAL SCIENCES
0.72,0.595,AI MAGAZINE
0.72,1.12,JOURNAL OF AOAC INTERNATIONAL
0.71,6.409,BIOSENSORS & BIOELECTRONICS
0.71,1.493,VETERINARY RECORD
0.71,0.777,Journal of Power Electronics
0.71,3.005,JOURNAL OF DIABETES AND ITS COMPLICATIONS
0.71,3.082,COMBUSTION AND FLAME
0.71,4.333,JOURNAL OF MOLECULAR BIOLOGY
0.71,1.182,Public Health Ethics
0.71,1.16,AUSTRALIAN GEOGRAPHER
0.71,0.76,Medical Dosimetry
0.71,6.393,HUMAN MOLECULAR GENETICS
0.71,2.622,SOIL & TILLAGE RESEARCH
0.71,1.998,SURFACE & COATINGS TECHNOLOGY
0.71,1.411,Cancer Radiotherapie
0.7,1.294,Journal of Rational-Emotive and Cognitive-Behavior Therapy
0.7,2.467,PSYCHIATRY RESEARCH
0.7,3.694,BEHAVIOR THERAPY
0.7,1.445,BEHAVIOURAL NEUROLOGY
0.7,2.081,BIOINORGANIC CHEMISTRY AND APPLICATIONS
0.7,1.209,BIOLOGICALS
0.7,0.766,KNOWLEDGE ENGINEERING REVIEW
0.7,2.171,Environmental Science-Processes & Impacts
0.7,1.182,Public Health Ethics
0.7,2.072,Energies
0.7,1.88,Evidence-based Complementary and Alternative Medicine
0.7,2.284,GENOMICS
0.7,2.131,COMPUTATIONAL MATERIALS SCIENCE
0.7,1.07,INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS
0.7,2.594,JOURNAL OF ANXIETY DISORDERS
0.7,0.772,POWDER METALLURGY
0.7,3.312,JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY
0.7,1.142,JOURNAL OF COMPARATIVE PATHOLOGY
0.7,2.933,Statistics and Its Interface
0.7,1.028,ENGINEERING FAILURE ANALYSIS
0.7,10.235,#N/A
0.7,7.528,PLoS Genetics
0.7,1.707,Psychological Services
0.7,2.308,Psychological Trauma-Theory Research Practice and Policy
0.7,1.903,FISHERIES RESEARCH
0.69,2.929,Fungal Ecology
0.69,1.656,Pathogens and Global Health
0.69,2.138,HUMAN IMMUNOLOGY
0.69,3.381,INTERNATIONAL JOURNAL OF COAL GEOLOGY
0.69,2.999,JOURNAL OF ALLOYS AND COMPOUNDS
0.69,2.722,JOURNAL OF CATARACT AND REFRACTIVE SURGERY
0.69,2.609,JOURNAL OF MATHEMATICAL PSYCHOLOGY
0.69,2.349,POWDER TECHNOLOGY
0.69,1.398,Journal of X-Ray Science and Technology
0.69,1.755,VETERINARY JOURNAL
0.69,1.858,PSYCHOSOMATICS
0.684,0.839,Asia Pacific Education Review
0.68,2.752,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS
0.68,0.66,SCIENCE AS CULTURE
0.68,1.948,JOURNAL OF FLUORINE CHEMISTRY
0.68,1.906,Evaluation
0.68,3.419,JOURNAL OF DERMATOLOGICAL SCIENCE
0.68,2.729,BMC MICROBIOLOGY
0.68,4.655,POLITICAL ANALYSIS
0.68,2.288,PHYSICAL REVIEW E
0.68,3.054,HISTOCHEMISTRY AND CELL BIOLOGY
0.68,0.803,KAOHSIUNG JOURNAL OF MEDICAL SCIENCES
0.67,2.007,Academic Pediatrics
0.67,0.846,OXFORD ECONOMIC PAPERS-NEW SERIES
0.67,2.605,NEW YORK UNIVERSITY LAW REVIEW
0.67,1.269,Experimental and Therapeutic Medicine
0.67,6.235,CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE
0.67,1.179,BIORHEOLOGY
0.67,1.484,Eating Disorders
0.67,0.43,MICROPROCESSORS AND MICROSYSTEMS
0.67,2.676,Trauma Violence & Abuse
0.67,3.562,ORGANIC & BIOMOLECULAR CHEMISTRY
0.67,3.163,CELL STRESS & CHAPERONES
0.67,2.426,ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA
0.67,2.768,Stem Cell Reviews and Reports
0.67,0.468,WOMENS STUDIES INTERNATIONAL FORUM
0.66,1.511,PALAIOS
0.66,1.076,Congenital Heart Disease
0.66,0.696,Mediterranean Politics
0.66,2.66,FOREST ECOLOGY AND MANAGEMENT
0.66,2.772,GEODERMA
0.66,3.615,JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL
0.66,2.815,VETERINARY RESEARCH
0.66,3.269,AMERICAN JOURNAL OF POLITICAL SCIENCE
0.66,1.422,AQUATIC ECOLOGY
0.66,1.119,PROGRESS IN NUCLEAR ENERGY
0.66,2.053,Journal of Cardiovascular Nursing
0.66,6.65,JOURNAL OF HEART AND LUNG TRANSPLANTATION
0.66,1.759,THIN SOLID FILMS
0.65,1.657,Advances in Biochemical Engineering-Biotechnology
0.65,2.268,CLINICAL JOURNAL OF SPORT MEDICINE
0.65,3.451,AQUATIC TOXICOLOGY
0.65,2,ANNALS OF APPLIED BIOLOGY
0.65,1.761,COMPUTERS AND ELECTRONICS IN AGRICULTURE
0.65,4.325,Experimental Diabetes Research
0.65,0.435,JOURNAL OF APPLIED ANIMAL RESEARCH
0.65,4.632,HORMONES AND BEHAVIOR
0.65,0.665,International Journal of Distributed Sensor Networks
0.65,1,4OR-A Quarterly Journal of Operations Research
0.65,2.164,AJIDD-American Journal on Intellectual and Developmental Disabilities
0.65,1.83,PARTY POLITICS
0.65,0.934,Optimization Letters
0.65,1.597,ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY
0.65,1.838,RESTORATION ECOLOGY
0.65,2.109,URBAN FORESTRY & URBAN GREENING
0.64,2.203,JOURNAL OF FOOD SCIENCE AND TECHNOLOGY-MYSORE
0.64,2.963,DIGESTIVE AND LIVER DISEASE
0.64,2.032,CHILD PSYCHIATRY & HUMAN DEVELOPMENT
0.64,0.446,Sains Malaysiana
0.64,1.919,BEST PRACTICE & RESEARCH CLINICAL OBSTETRICS & GYNAECOLOGY
0.64,2.14,Molecular Cytogenetics
0.64,0.953,Social Theory & Health
0.64,1.195,NOVA HEDWIGIA
0.64,2.027,JOURNAL OF CLINICAL DENSITOMETRY
0.64,2.204,JOURNAL OF CONTAMINANT HYDROLOGY
0.64,1.322,JOURNAL OF FUNCTIONAL ANALYSIS
0.64,1.425,Journal of Ophthalmology
0.64,0.538,AFFILIA-JOURNAL OF WOMEN AND SOCIAL WORK
0.64,6.767,METABOLIC ENGINEERING
0.64,2.509,PPAR Research
0.64,0.656,Mediterranean Journal of Mathematics
0.64,0.627,Breast Care
0.64,1.67,Travel Medicine and Infectious Disease
0.63,1.579,CHINESE SCIENCE BULLETIN
0.63,2.321,Corporate Social Responsibility and Environmental Management
0.63,2.751,JOURNAL OF BIOMECHANICS
0.63,3.169,JOURNAL OF BIOMEDICINE AND BIOTECHNOLOGY
0.63,0.787,HEMOGLOBIN
0.63,1.182,Public Health Ethics
0.63,2.472,JOURNAL OF GENE MEDICINE
0.63,2.474,IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY
0.63,0.939,POLITICAL STUDIES
0.63,3.072,CANCER BIOLOGY & THERAPY
0.63,3.606,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS
0.63,2.014,PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY
0.625,2.844,Essays in Biochemistry
0.62,2.934,Clinical & Developmental Immunology
0.62,2.752,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS
0.62,0.691,Physics and Chemistry of Glasses-European Journal of Glass Science and Technology Part B
0.62,0.688,Gastroenterology Nursing
0.62,2.312,Crystallography Reviews
0.62,6.217,JOURNAL OF POWER SOURCES
0.62,1.753,COMPUTER SPEECH AND LANGUAGE
0.62,1.695,PEDIATRIC NEUROLOGY
0.62,0.722,SHOCK AND VIBRATION
0.62,1.428,Water
0.61,1.635,BIOLOGICAL CONTROL
0.61,2.929,Fungal Ecology
0.61,1.31,Bone Research
0.61,2.741,JOURNAL OF ASIAN EARTH SCIENCES
0.61,0.826,EUROPEAN JOURNAL OF CONTROL
0.61,0.647,International Journal of Shoulder Surgery
0.61,2.252,COMPREHENSIVE PSYCHIATRY
0.61,4.321,ULTRASONICS SONOCHEMISTRY
0.609,1.185,JOURNAL OF APPLIED DEVELOPMENTAL PSYCHOLOGY
0.6,4.504,ELECTROCHIMICA ACTA
0.6,2.084,PSYCHOPATHOLOGY
0.6,1.759,THIN SOLID FILMS
0.6,0.229,Sumarski List
0.6,2.666,WORLD JOURNAL OF UROLOGY
0.6,2.11,Particuology
0.6,1.821,PSYCHIATRISCHE PRAXIS
0.6,5.013,NEUROBIOLOGY OF AGING
0.6,1.981,ANNALS OF FOREST SCIENCE
0.6,2.01,AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS
0.6,0.741,PSYCHOANALYTIC PSYCHOLOGY
0.6,1.417,JOURNAL OF TERRAMECHANICS
0.6,2.813,Clinical Colorectal Cancer
0.6,1.719,NATURAL HAZARDS
0.6,1.461,JOURNAL OF CARDIOVASCULAR SURGERY
0.6,0.551,JOURNAL OF OBSTETRICS AND GYNAECOLOGY
0.592,1.049,METEOROLOGY AND ATMOSPHERIC PHYSICS
0.59,2.709,ARCHAEA-AN INTERNATIONAL MICROBIOLOGICAL JOURNAL
0.59,1.449,JOURNAL OF COMMUNICATION DISORDERS
0.59,1.049,METEOROLOGY AND ATMOSPHERIC PHYSICS
0.59,3.564,JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS
0.59,1.714,Review of International Organizations
0.59,2.167,BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY
0.59,1.38,GENE EXPRESSION PATTERNS
0.58,0.221,Journal of the Southern African Institute of Mining and Metallurgy
0.58,2.252,COMPREHENSIVE PSYCHIATRY
0.58,2.196,INTERNATIONAL ARCHIVES OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH
0.58,4.169,JOURNAL OF CHROMATOGRAPHY A
0.58,2.128,International Journal of Clinical Oncology
0.58,1.644,Journal of Nanomaterials
0.58,0.783,PHYSICS AND CHEMISTRY OF LIQUIDS
0.58,2.651,PROTOPLASMA
0.58,3.453,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS
0.58,1.071,Quantitative InfraRed Thermography Journal
0.58,2.11,Particuology
0.58,27.417,PROGRESS IN MATERIALS SCIENCE
0.58,9.992,#N/A
0.576,2.236,JOURNAL OF AEROSOL SCIENCE
0.57,0.833,COMMUNICATION MONOGRAPHS
0.57,1.691,PATHOLOGY INTERNATIONAL
0.57,3.082,COMBUSTION AND FLAME
0.57,8.235,GONDWANA RESEARCH
0.57,3.383,EMOTION
0.57,2.729,BMC MICROBIOLOGY
0.57,2.937,PULMONARY PHARMACOLOGY & THERAPEUTICS
0.57,2.561,MINERALIUM DEPOSITA
0.57,0.982,Review of Economics of the Household
0.56,0.621,Chemistry of Heterocyclic Compounds
0.56,0.255,Inland Water Biology
0.56,1.777,BMC Veterinary Research
0.56,0.599,International Journal of Nursing Practice
0.56,1.237,Journal of International Financial Markets Institutions & Money
0.56,2.116,JOURNAL OF THEORETICAL BIOLOGY
0.56,3.092,NEUROCHEMISTRY INTERNATIONAL
0.56,3.516,Oxidative Medicine and Cellular Longevity
0.56,2.679,PUBLIC HEALTH NUTRITION
0.55,2.063,International Journal of Environmental Research and Public Health
0.55,2.39,JOURNAL OF PHARMACOLOGICAL AND TOXICOLOGICAL METHODS
0.55,3.236,ANNALS OF MATHEMATICS
0.55,4.651,TRENDS IN FOOD SCIENCE & TECHNOLOGY
0.54,1.033,INTERNATIONAL MIGRATION REVIEW
0.54,2.862,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES
0.54,2.344,JOURNAL OF COMPARATIVE PSYCHOLOGY
0.54,3.417,ADVANCES IN WATER RESOURCES
0.54,2.416,CHILD NEUROPSYCHOLOGY
0.54,3.827,ORGANIC ELECTRONICS
0.54,2.245,Obesity Facts
0.54,2.324,VIRUS RESEARCH
0.53,0.862,International Journal of Shipping and Transport Logistics
0.53,1.856,JOURNAL OF PHARMACY AND PHARMACEUTICAL SCIENCES
0.53,0.479,JOURNAL OF ANALYTICAL CHEMISTRY
0.53,1.928,Pharmacological Reports
0.53,3.18,Remote Sensing
0.53,4.097,Current Topics in Microbiology and Immunology
0.53,1.457,AIDS Research and Therapy
0.521,2.149,SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS
0.52,0.879,JOURNAL OF EXPERIMENTAL AND THEORETICAL PHYSICS
0.52,3.015,BIOCHEMISTRY
0.52,1.563,EUROPEAN JOURNAL OF DRUG METABOLISM AND PHARMACOKINETICS
0.52,2.747,BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS
0.52,0.898,China Agricultural Economic Review
0.52,2.71,CNS SPECTRUMS
0.52,1.605,Spatial Statistics
0.52,0.826,EUROPEAN JOURNAL OF CONTROL
0.52,1.798,THERIOGENOLOGY
0.51,0.946,HEAT AND MASS TRANSFER
0.51,3.404,BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION
0.505,1.479,ADVANCES IN ATMOSPHERIC SCIENCES
0.5,3.206,ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY
0.5,1.6,Systems Biology in Reproductive Medicine
0.5,2.85,International Journal of Clinical and Health Psychology
0.5,0.884,Multiple Sclerosis and Related Disorders
0.5,3.681,Information Fusion
0.5,0.703,International Emergency Nursing
0.49,0.287,Chirurgie de la Main
0.49,1.562,Nature + Culture
0.49,4.604,Forensic Science International-Genetics
0.49,2.046,ARCHIVES OF PHARMACAL RESEARCH
0.49,2.58,INTERNATIONAL JOURNAL OF DEVELOPMENTAL NEUROSCIENCE
0.49,3.176,SPECTROCHIMICA ACTA PART B-ATOMIC SPECTROSCOPY
0.48,1.358,JOURNAL OF PERINATAL MEDICINE
0.48,1.04,INDUSTRIAL RELATIONS
0.48,0.87,JOURNAL OF POLITICAL PHILOSOPHY
0.48,2.467,PSYCHIATRY RESEARCH
0.48,1.843,REHABILITATION PSYCHOLOGY
0.474,1.398,Journal of X-Ray Science and Technology
0.474,1.337,APPLIED MATHEMATICS LETTERS
0.47,2.991,MARINE POLLUTION BULLETIN
0.47,2.54,PROGRESS IN AEROSPACE SCIENCES
0.47,1.5,BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING
0.46,3.281,ATMOSPHERIC ENVIRONMENT
0.46,1.727,Biomolecules & Therapeutics
0.46,2.508,JOURNAL OF MARINE SYSTEMS
0.46,2.173,Diabetology & Metabolic Syndrome
0.46,2.526,#N/A
0.46,0.952,CHINA QUARTERLY
0.46,1.732,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS
0.46,2.011,POLYHEDRON
0.457,1.297,HEALTH COMMUNICATION
0.456,2.015,EPILEPSY RESEARCH
0.45,1.022,JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME
0.45,2.47,GENERAL AND COMPARATIVE ENDOCRINOLOGY
0.45,3.191,INTERNATIONAL JOURNAL OF DRUG POLICY
0.45,3.313,INTERNATIONAL JOURNAL OF HYDROGEN ENERGY
0.45,4.482,LITHOS
0.45,3.582,NEURAL PLASTICITY
0.45,5.578,Scientific Reports
0.45,1.262,THEORETICAL AND APPLIED FRACTURE MECHANICS
0.44,0.939,POLITICAL STUDIES
0.44,2.712,EXPERIMENTAL AND CLINICAL PSYCHOPHARMACOLOGY
0.44,3.733,JOURNAL OF HUMAN EVOLUTION
0.44,3.27,Nutrients
0.43,2.458,ATOMIC DATA AND NUCLEAR DATA TABLES
0.43,0.387,KLINIK PSIKOFARMAKOLOJI BULTENI-BULLETIN OF CLINICAL PSYCHOPHARMACOLOGY
0.42,1.502,MECHANICS RESEARCH COMMUNICATIONS
0.42,1.683,Journal of Happiness Studies
0.42,2.735,ECONOMIC GEOGRAPHY
0.42,1.792,DIABETES EDUCATOR
0.41,0.423,International & Comparative Law Quarterly
0.41,3.816,Transplantation Reviews
0.403,1.521,Atmospheric Science Letters
0.4,1.37,Geocarto International
0.4,2.467,PSYCHIATRY RESEARCH
0.399,3.43,CLIMATIC CHANGE
0.398,3.246,EXPERIMENTAL CELL RESEARCH
0.39,1.214,GROUP DYNAMICS-THEORY RESEARCH AND PRACTICE
0.386,3.645,METHODS
0.38,1.132,Current Analytical Chemistry
0.38,2.853,Marine Drugs
0.38,1.971,RESPIRATORY PHYSIOLOGY & NEUROBIOLOGY
0.379,2.47,GENERAL AND COMPARATIVE ENDOCRINOLOGY
0.379,2.927,OCEAN MODELLING
0.376,1.342,Journal of Family Nursing
0.37,7.776,ADVANCES IN COLLOID AND INTERFACE SCIENCE
0.36,1.367,GEOLOGICA ACTA
0.36,0.845,Journal of the Chinese Medical Association
0.352,1.719,NATURAL HAZARDS
0.35,2.731,CLINICAL THERAPEUTICS
0.35,3.111,DNA REPAIR
0.35,1.865,COLLOID AND POLYMER SCIENCE
0.35,2.112,PeerJ
0.35,2.371,JOURNAL OF SUPERCRITICAL FLUIDS
0.35,3.353,JOURNAL OF ENDOVASCULAR THERAPY
0.34,1.477,Simulation in Healthcare-Journal of the Society for Simulation in Healthcare
0.34,6.472,TRAC-TRENDS IN ANALYTICAL CHEMISTRY
0.337,3.358,JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE
